,boro,Burglary,Criminal Damage,Drugs,Fraud & Forgery,Other Notifiable Offences,Robbery,Sexual Offences,Theft & Handling,Violence Against The Person
0,BarkingDagenham,201.0,152.0,101.0,1.0,22.0,43.0,12.0,515.0,369.0
1,Barnet,401.0,163.0,109.0,1.0,29.0,60.0,34.0,860.0,383.0
2,Bexley,205.0,137.0,95.0,1.0,22.0,27.0,20.0,350.0,230.0
3,Brent,302.0,173.0,349.0,,43.0,83.0,21.0,689.0,534.0
4,Bromley,288.0,163.0,98.0,2.0,34.0,55.0,20.0,663.0,408.0
5,Camden,203.0,114.0,193.0,4.0,32.0,71.0,32.0,1122.0,377.0
6,Croydon,355.0,223.0,197.0,3.0,36.0,98.0,59.0,811.0,579.0
7,Ealing,339.0,180.0,146.0,6.0,45.0,58.0,34.0,893.0,525.0
8,Enfield,320.0,157.0,245.0,,30.0,79.0,26.0,709.0,355.0
9,Greenwich,201.0,136.0,147.0,2.0,30.0,43.0,25.0,722.0,421.0
10,Hackney,252.0,135.0,142.0,1.0,34.0,92.0,39.0,948.0,533.0
11,HammersmithFulham,166.0,114.0,203.0,2.0,34.0,44.0,26.0,773.0,375.0
12,Haringey,283.0,176.0,112.0,1.0,22.0,69.0,39.0,808.0,403.0
13,Harrow,203.0,76.0,93.0,1.0,21.0,34.0,29.0,326.0,299.0
14,Havering,191.0,122.0,85.0,,22.0,23.0,11.0,513.0,267.0
15,Hillingdon,312.0,171.0,98.0,1.0,23.0,49.0,21.0,591.0,384.0
16,Hounslow,239.0,177.0,126.0,4.0,32.0,46.0,24.0,638.0,448.0
17,Islington,232.0,139.0,110.0,5.0,37.0,106.0,25.0,1007.0,440.0
18,KensingtonChelsea,156.0,54.0,87.0,1.0,16.0,38.0,14.0,904.0,212.0
19,KingstonUponThames,122.0,67.0,65.0,,7.0,21.0,17.0,373.0,169.0
20,Lambeth,356.0,172.0,148.0,1.0,39.0,159.0,43.0,1139.0,632.0
21,Lewisham,251.0,191.0,144.0,4.0,32.0,104.0,41.0,600.0,507.0
22,Merton,156.0,100.0,43.0,2.0,15.0,30.0,14.0,406.0,208.0
23,Newham,276.0,161.0,161.0,4.0,35.0,204.0,59.0,1076.0,582.0
24,Redbridge,346.0,146.0,170.0,,24.0,91.0,21.0,639.0,412.0
25,RichmondUponThames,169.0,82.0,60.0,3.0,11.0,14.0,7.0,365.0,155.0
26,Southwark,297.0,225.0,263.0,5.0,41.0,188.0,33.0,1210.0,529.0
27,Sutton,171.0,116.0,43.0,,15.0,14.0,18.0,295.0,211.0
28,TowerHamlets,240.0,162.0,250.0,3.0,30.0,130.0,25.0,878.0,590.0
29,Waltham Forest,247.0,145.0,156.0,2.0,28.0,74.0,52.0,701.0,445.0
30,Wandsworth,244.0,143.0,99.0,2.0,23.0,78.0,27.0,876.0,343.0
31,Westminster,326.0,154.0,380.0,8.0,73.0,235.0,46.0,2718.0,599.0
